seed,method,cycle_id,ue_id,previous_bs_id,current_bs_id,app_type,tp_mbps,rtt_ms,satisfaction,num_users_on_current_bs,harmonic_mean,num_unsatisfied_users,target_ue_flag,action_selected_bs_id,switch_flag,h_after_estimated,reward,measurement_valid
7,multi_greedy,1,1,2,2,4,0.000000,125.167000,0.319573,26,0.320437,53,0,2,0,0.394747,0.074310,1
7,multi_greedy,1,2,0,0,3,0.000000,90.666700,1.102941,25,0.320437,53,0,0,0,0.394747,0.074310,1
7,multi_greedy,1,3,1,1,4,0.000000,84.500000,0.473373,29,0.320437,53,0,1,0,0.394747,0.074310,1
7,multi_greedy,1,4,2,2,1,0.000000,125.167000,0.100000,26,0.320437,53,0,2,0,0.394747,0.074310,0
7,multi_greedy,1,5,1,1,1,2.011376,84.500000,0.670459,29,0.320437,53,0,1,0,0.394747,0.074310,1
7,multi_greedy,1,6,1,1,2,1.525656,84.500000,0.190707,29,0.320437,53,0,1,0,0.394747,0.074310,1
7,multi_greedy,1,7,2,2,2,1.024006,125.167000,0.128001,26,0.320437,53,0,2,0,0.394747,0.074310,1
7,multi_greedy,1,8,0,0,2,6.779101,90.666700,0.847388,25,0.320437,53,0,0,0,0.394747,0.074310,1
7,multi_greedy,1,9,1,1,4,0.000000,84.500000,0.473373,29,0.320437,53,0,1,0,0.394747,0.074310,1
7,multi_greedy,1,10,1,1,4,0.000000,84.500000,0.473373,29,0.320437,53,0,1,0,0.394747,0.074310,1
7,multi_greedy,1,11,2,2,3,0.000000,125.167000,0.798933,26,0.320437,53,0,2,0,0.394747,0.074310,1
7,multi_greedy,1,12,2,2,2,0.589026,125.167000,0.073628,26,0.320437,53,1,2,0,0.394747,0.074310,1
7,multi_greedy,1,13,2,2,4,0.000000,125.167000,0.319573,26,0.320437,53,0,2,0,0.394747,0.074310,1
7,multi_greedy,1,14,2,2,1,1.785136,125.167000,0.595045,26,0.320437,53,0,2,0,0.394747,0.074310,1
7,multi_greedy,1,15,0,0,4,0.000000,90.666700,0.441176,25,0.320437,53,0,0,0,0.394747,0.074310,1
7,multi_greedy,1,16,2,2,2,0.678639,125.167000,0.084830,26,0.320437,53,0,2,0,0.394747,0.074310,1
7,multi_greedy,1,17,1,1,2,1.614196,84.500000,0.201775,29,0.320437,53,0,1,0,0.394747,0.074310,1
7,multi_greedy,1,18,2,2,4,0.000000,125.167000,0.319573,26,0.320437,53,0,2,0,0.394747,0.074310,1
7,multi_greedy,1,19,1,1,3,0.000000,84.500000,1.183432,29,0.320437,53,0,1,0,0.394747,0.074310,1
7,multi_greedy,1,20,1,1,1,2.965864,84.500000,0.988621,29,0.320437,53,0,1,0,0.394747,0.074310,1
7,multi_greedy,1,21,1,1,3,0.000000,84.500000,1.183432,29,0.320437,53,0,1,0,0.394747,0.074310,1
7,multi_greedy,1,22,1,1,2,1.614209,84.500000,0.201776,29,0.320437,53,0,1,0,0.394747,0.074310,1
7,multi_greedy,1,23,1,1,2,1.614190,84.500000,0.201774,29,0.320437,53,0,1,0,0.394747,0.074310,1
7,multi_greedy,1,24,1,1,2,1.593424,84.500000,0.199178,29,0.320437,53,0,1,0,0.394747,0.074310,1
7,multi_greedy,1,25,2,2,1,1.509616,125.167000,0.503205,26,0.320437,53,0,2,0,0.394747,0.074310,1
7,multi_greedy,1,26,1,1,2,1.615259,84.500000,0.201907,29,0.320437,53,0,1,0,0.394747,0.074310,1
7,multi_greedy,1,27,1,1,2,1.614232,84.500000,0.201779,29,0.320437,53,0,1,0,0.394747,0.074310,1
7,multi_greedy,1,28,0,0,1,3.506427,90.666700,1.168809,25,0.320437,53,0,0,0,0.394747,0.074310,1
7,multi_greedy,1,29,1,1,3,0.000000,84.500000,1.183432,29,0.320437,53,0,1,0,0.394747,0.074310,1
7,multi_greedy,1,30,2,2,1,1.493121,125.167000,0.497707,26,0.320437,53,0,2,0,0.394747,0.074310,1
7,multi_greedy,1,31,0,0,2,6.779101,90.666700,0.847388,25,0.320437,53,0,0,0,0.394747,0.074310,1
7,multi_greedy,1,32,0,0,4,0.000000,90.666700,0.441176,25,0.320437,53,0,0,0,0.394747,0.074310,1
7,multi_greedy,1,33,0,0,1,3.543435,90.666700,1.181145,25,0.320437,53,0,0,0,0.394747,0.074310,1
7,multi_greedy,1,34,2,2,4,0.000000,125.167000,0.319573,26,0.320437,53,0,2,0,0.394747,0.074310,1
7,multi_greedy,1,35,0,0,4,0.000000,90.666700,0.441176,25,0.320437,53,0,0,0,0.394747,0.074310,1
7,multi_greedy,1,36,0,0,2,6.780194,90.666700,0.847524,25,0.320437,53,0,0,0,0.394747,0.074310,1
7,multi_greedy,1,37,0,0,4,0.000000,90.666700,0.441176,25,0.320437,53,0,0,0,0.394747,0.074310,1
7,multi_greedy,1,38,0,0,3,0.000000,90.666700,1.102941,25,0.320437,53,0,0,0,0.394747,0.074310,1
7,multi_greedy,1,39,0,0,1,3.506535,90.666700,1.168845,25,0.320437,53,0,0,0,0.394747,0.074310,1
7,multi_greedy,1,40,1,1,2,1.361651,84.500000,0.170206,29,0.320437,53,0,1,0,0.394747,0.074310,1
7,multi_greedy,1,41,0,0,4,0.000000,90.666700,0.441176,25,0.320437,53,0,0,0,0.394747,0.074310,1
7,multi_greedy,1,42,1,1,2,1.524594,84.500000,0.190574,29,0.320437,53,0,1,0,0.394747,0.074310,1
7,multi_greedy,1,43,0,0,4,0.000000,90.666700,0.441176,25,0.320437,53,0,0,0,0.394747,0.074310,1
7,multi_greedy,1,44,0,0,3,0.000000,90.666700,1.102941,25,0.320437,53,0,0,0,0.394747,0.074310,1
7,multi_greedy,1,45,1,1,1,2.899399,84.500000,0.966466,29,0.320437,53,0,1,0,0.394747,0.074310,1
7,multi_greedy,1,46,1,1,4,0.000000,84.500000,0.473373,29,0.320437,53,0,1,0,0.394747,0.074310,1
7,multi_greedy,1,47,0,0,2,6.781287,90.666700,0.847661,25,0.320437,53,0,0,0,0.394747,0.074310,1
7,multi_greedy,1,48,2,2,4,0.000000,125.167000,0.319573,26,0.320437,53,0,2,0,0.394747,0.074310,1
7,multi_greedy,1,49,1,1,1,2.959539,84.500000,0.986513,29,0.320437,53,0,1,0,0.394747,0.074310,1
7,multi_greedy,1,50,0,0,4,0.000000,90.666700,0.441176,25,0.320437,53,0,0,0,0.394747,0.074310,1
7,multi_greedy,1,51,2,2,1,1.761589,125.167000,0.587196,26,0.320437,53,0,2,0,0.394747,0.074310,1
7,multi_greedy,1,52,1,1,3,0.000000,84.500000,1.183432,29,0.320437,53,0,1,0,0.394747,0.074310,1
