seed,method,cycle_id,ue_id,previous_bs_id,current_bs_id,app_type,tp_mbps,rtt_ms,satisfaction,num_users_on_current_bs,harmonic_mean,num_unsatisfied_users,target_ue_flag,action_selected_bs_id,switch_flag,h_before,h_after_estimated,reward,estimated_reward,h_after_measured,measured_reward,switch_count,num_degraded_users,measurement_valid,candidate_type,num_users_ap0,num_users_ap1,num_users_ap2,monitor_rtt_ap0,monitor_rtt_ap1,monitor_rtt_ap2,estimated_satisfaction_if_ap0,estimated_satisfaction_if_ap1,estimated_satisfaction_if_ap2,estimated_h_delta_if_ap0,estimated_h_delta_if_ap1,estimated_h_delta_if_ap2,best_estimated_h_delta
4,rulebase,1,1,0,0,2,6.202074,107.667000,0.775259,27,0.320109,58,0,0,0,0.320109,0.320109,0.000000,0.000000,0.320109,0.000000,32,0,1,-1,27,31,22,107.667000,79.833300,101.333000,0.565055,0.174557,0.120053,0.001476,-0.004970,-0.011084,0.000000
4,rulebase,1,2,1,1,1,2.908190,79.833300,0.969397,31,0.320109,58,0,1,0,0.320109,0.320109,0.000000,0.000000,0.320109,0.000000,32,0,1,-1,27,31,22,107.667000,79.833300,101.333000,1.147251,0.891170,0.694059,0.003137,0.001476,-0.002073,0.003137
4,rulebase,1,3,2,2,3,0.000000,101.333000,0.986845,22,0.320109,58,0,2,0,0.320109,0.320109,0.000000,0.000000,0.320109,0.000000,32,0,1,-1,27,31,22,107.667000,79.833300,101.333000,0.928790,1.252610,0.986845,0.005962,0.004921,0.001476,0.005962
4,rulebase,1,4,1,1,1,2.913733,79.833300,0.971244,31,0.320109,58,0,1,0,0.320109,0.320109,0.000000,0.000000,0.320109,0.000000,32,0,1,-1,27,31,22,107.667000,79.833300,101.333000,1.147251,0.890939,0.694059,0.003138,0.001476,-0.002073,0.003138
4,rulebase,1,5,1,1,4,0.000000,79.833300,0.501044,31,0.320109,58,0,1,0,0.320109,0.320109,0.000000,0.000000,0.320109,0.000000,32,0,1,0,27,31,22,107.667000,79.833300,101.333000,0.371516,0.501044,0.394738,0.001953,0.001476,-0.002304,0.001953
4,rulebase,1,6,0,0,3,0.000000,107.667000,0.928790,27,0.320109,58,0,0,0,0.320109,0.320109,0.000000,0.000000,0.320109,0.000000,32,0,1,-1,27,31,22,107.667000,79.833300,101.333000,0.928790,1.252610,0.986845,0.001476,0.000464,-0.002888,0.000464
4,rulebase,1,7,1,1,2,1.492886,79.833300,0.186611,31,0.320109,58,0,2,1,0.320109,0.320109,0.000000,0.000000,0.320109,0.000000,32,0,1,0,27,31,22,107.667000,79.833300,101.333000,0.557543,0.179474,0.120053,0.007619,0.001476,-0.005305,0.007619
4,rulebase,1,8,1,1,2,1.492858,79.833300,0.186607,31,0.320109,58,0,0,1,0.320109,0.320109,0.000000,0.000000,0.320109,0.000000,32,0,1,0,27,31,22,107.667000,79.833300,101.333000,0.557543,0.179474,0.120053,0.007619,0.001476,-0.005305,0.007619
4,rulebase,1,9,2,2,1,2.117200,101.333000,0.705733,22,0.320109,58,0,2,0,0.320109,0.320109,0.000000,0.000000,0.320109,0.000000,32,0,1,-1,27,31,22,107.667000,79.833300,101.333000,1.147251,0.871741,0.735544,0.006613,0.004836,0.001476,0.006613
4,rulebase,1,10,1,1,2,1.492823,79.833300,0.186603,31,0.320109,58,0,0,1,0.320109,0.320109,0.000000,0.000000,0.320109,0.000000,32,0,1,0,27,31,22,107.667000,79.833300,101.333000,0.557543,0.179475,0.120053,0.007619,0.001476,-0.005305,0.007619
4,rulebase,1,11,0,0,2,4.174715,107.667000,0.521839,27,0.320109,58,0,0,0,0.320109,0.320109,0.000000,0.000000,0.320109,0.000000,32,0,1,0,27,31,22,107.667000,79.833300,101.333000,0.581949,0.174557,0.120053,0.001476,-0.005032,-0.011143,0.000000
4,rulebase,1,12,0,0,2,4.173646,107.667000,0.521706,27,0.320109,58,0,0,0,0.320109,0.320109,0.000000,0.000000,0.320109,0.000000,32,0,1,0,27,31,22,107.667000,79.833300,101.333000,0.581958,0.174557,0.120053,0.001476,-0.005032,-0.011143,0.000000
4,rulebase,1,13,2,2,2,1.038098,101.333000,0.129762,22,0.320109,58,0,0,1,0.320109,0.320109,0.000000,0.000000,0.320109,0.000000,32,0,1,0,27,31,22,107.667000,79.833300,101.333000,0.557543,0.174557,0.125123,0.013994,0.007161,0.001476,0.013994
4,rulebase,1,14,1,1,4,0.000000,79.833300,0.501044,31,0.320109,58,0,1,0,0.320109,0.320109,0.000000,0.000000,0.320109,0.000000,32,0,1,0,27,31,22,107.667000,79.833300,101.333000,0.371516,0.501044,0.394738,0.001953,0.001476,-0.002304,0.001953
4,rulebase,1,15,0,0,3,0.000000,107.667000,0.928790,27,0.320109,58,0,0,0,0.320109,0.320109,0.000000,0.000000,0.320109,0.000000,32,0,1,-1,27,31,22,107.667000,79.833300,101.333000,0.928790,1.252610,0.986845,0.001476,0.000464,-0.002888,0.000464
4,rulebase,1,16,1,1,2,1.492834,79.833300,0.186604,31,0.320109,58,0,2,1,0.320109,0.320109,0.000000,0.000000,0.320109,0.000000,32,0,1,0,27,31,22,107.667000,79.833300,101.333000,0.557543,0.179475,0.120053,0.007619,0.001476,-0.005305,0.007619
4,rulebase,1,17,2,2,2,1.088410,101.333000,0.136051,22,0.320109,58,0,0,1,0.320109,0.320109,0.000000,0.000000,0.320109,0.000000,32,0,1,0,27,31,22,107.667000,79.833300,101.333000,0.557543,0.174557,0.124551,0.014043,0.007208,0.001476,0.014043
4,rulebase,1,18,1,1,4,0.000000,79.833300,0.501044,31,0.320109,58,0,1,0,0.320109,0.320109,0.000000,0.000000,0.320109,0.000000,32,0,1,0,27,31,22,107.667000,79.833300,101.333000,0.371516,0.501044,0.394738,0.001953,0.001476,-0.002304,0.001953
