seed,method,cycle_id,ue_id,previous_bs_id,current_bs_id,app_type,tp_mbps,rtt_ms,satisfaction,num_users_on_current_bs,harmonic_mean,num_unsatisfied_users,target_ue_flag,action_selected_bs_id,switch_flag,h_before,h_after_estimated,reward,estimated_reward,h_after_measured,measured_reward,switch_count,num_degraded_users,measurement_valid,candidate_type,num_users_ap0,num_users_ap1,num_users_ap2,monitor_rtt_ap0,monitor_rtt_ap1,monitor_rtt_ap2,estimated_satisfaction_if_ap0,estimated_satisfaction_if_ap1,estimated_satisfaction_if_ap2,estimated_h_delta_if_ap0,estimated_h_delta_if_ap1,estimated_h_delta_if_ap2,best_estimated_h_delta
6,multi_offload,1,1,2,2,1,1.871663,129.167000,0.623888,25,0.524282,48,0,2,0,0.524282,0.537737,0.013455,0.013455,0.524282,0.000000,1,0,1,0,29,26,25,99.666700,74.333300,129.167000,1.129878,1.097179,0.516513,0.018338,0.019767,0.011054,0.019767
6,multi_offload,1,2,1,1,1,3.504678,74.333300,1.168226,26,0.524282,48,0,1,0,0.524282,0.537737,0.013455,0.013455,0.524282,0.000000,1,0,1,-1,29,26,25,99.666700,74.333300,129.167000,1.129878,1.134570,0.508119,0.009443,0.011054,0.002016,0.009443
6,multi_offload,1,3,2,2,2,0.655723,129.167000,0.081965,25,0.524282,48,1,2,0,0.524282,0.537737,0.013455,0.013455,0.524282,0.000000,1,0,1,0,29,26,25,99.666700,74.333300,129.167000,0.606767,0.609963,0.154145,0.031943,0.033581,0.011054,0.033581
6,multi_offload,1,4,0,0,1,3.505895,99.666700,1.168632,29,0.524282,48,0,0,0,0.524282,0.537737,0.013455,0.013455,0.524282,0.000000,1,0,1,1,29,26,25,99.666700,74.333300,129.167000,1.168909,1.097179,0.508119,0.011054,0.012233,0.003377,0.012233
6,multi_offload,1,5,0,0,3,0.000000,99.666700,1.003344,29,0.524282,48,0,1,1,0.524282,0.537737,0.013455,0.013455,0.524282,0.000000,1,0,1,1,29,26,25,99.666700,74.333300,129.167000,1.003344,1.345292,0.774192,0.011054,0.013455,0.006342,0.013455
6,multi_offload,1,6,2,2,2,1.289636,129.167000,0.161205,25,0.524282,48,0,2,0,0.524282,0.537737,0.013455,0.013455,0.524282,0.000000,1,0,1,0,29,26,25,99.666700,74.333300,129.167000,0.606767,0.609963,0.127732,0.036968,0.038636,0.011054,0.038636
6,multi_offload,1,7,1,1,4,0.000000,74.333300,0.538117,26,0.524282,48,0,1,0,0.524282,0.537737,0.013455,0.013455,0.524282,0.000000,1,0,1,0,29,26,25,99.666700,74.333300,129.167000,0.401338,0.538117,0.309677,0.007330,0.011054,0.001151,0.007330
6,multi_offload,1,8,1,1,3,0.000000,74.333300,1.345292,26,0.524282,48,0,1,0,0.524282,0.537737,0.013455,0.013455,0.524282,0.000000,1,0,1,-1,29,26,25,99.666700,74.333300,129.167000,1.003344,1.345292,0.774192,0.008675,0.011054,0.004004,0.008675
6,multi_offload,1,9,1,1,3,0.000000,74.333300,1.345292,26,0.524282,48,0,1,0,0.524282,0.537737,0.013455,0.013455,0.524282,0.000000,1,0,1,-1,29,26,25,99.666700,74.333300,129.167000,1.003344,1.345292,0.774192,0.008675,0.011054,0.004004,0.008675
6,multi_offload,1,10,2,2,3,0.000000,129.167000,0.774192,25,0.524282,48,0,2,0,0.524282,0.537737,0.013455,0.013455,0.524282,0.000000,1,0,1,-1,29,26,25,99.666700,74.333300,129.167000,1.003344,1.345292,0.774192,0.015852,0.018295,0.011054,0.018295
6,multi_offload,1,11,2,2,4,0.000000,129.167000,0.309677,25,0.524282,48,0,2,0,0.524282,0.537737,0.013455,0.013455,0.524282,0.000000,1,0,1,0,29,26,25,99.666700,74.333300,129.167000,0.401338,0.538117,0.309677,0.017470,0.021339,0.011054,0.021339
6,multi_offload,1,12,1,1,3,0.000000,74.333300,1.345292,26,0.524282,48,0,1,0,0.524282,0.537737,0.013455,0.013455,0.524282,0.000000,1,0,1,-1,29,26,25,99.666700,74.333300,129.167000,1.003344,1.345292,0.774192,0.008675,0.011054,0.004004,0.008675
6,multi_offload,1,13,1,1,1,3.505193,74.333300,1.168398,26,0.524282,48,0,1,0,0.524282,0.537737,0.013455,0.013455,0.524282,0.000000,1,0,1,-1,29,26,25,99.666700,74.333300,129.167000,1.129878,1.134541,0.508119,0.009443,0.011054,0.002016,0.009443
6,multi_offload,1,14,0,0,3,0.000000,99.666700,1.003344,29,0.524282,48,0,0,0,0.524282,0.537737,0.013455,0.013455,0.524282,0.000000,1,0,1,1,29,26,25,99.666700,74.333300,129.167000,1.003344,1.345292,0.774192,0.011054,0.013455,0.006342,0.013455
6,multi_offload,1,15,0,0,1,3.506614,99.666700,1.168871,29,0.524282,48,0,0,0,0.524282,0.537737,0.013455,0.013455,0.524282,0.000000,1,0,1,1,29,26,25,99.666700,74.333300,129.167000,1.168829,1.097179,0.508119,0.011054,0.012233,0.003377,0.012233
6,multi_offload,1,16,0,0,3,0.000000,99.666700,1.003344,29,0.524282,48,0,0,0,0.524282,0.537737,0.013455,0.013455,0.524282,0.000000,1,0,1,1,29,26,25,99.666700,74.333300,129.167000,1.003344,1.345292,0.774192,0.011054,0.013455,0.006342,0.013455
6,multi_offload,1,17,1,1,4,0.000000,74.333300,0.538117,26,0.524282,48,0,1,0,0.524282,0.537737,0.013455,0.013455,0.524282,0.000000,1,0,1,0,29,26,25,99.666700,74.333300,129.167000,0.401338,0.538117,0.309677,0.007330,0.011054,0.001151,0.007330
6,multi_offload,1,18,0,0,4,0.000000,99.666700,0.401338,29,0.524282,48,0,0,0,0.524282,0.537737,0.013455,0.013455,0.524282,0.000000,1,0,1,0,29,26,25,99.666700,74.333300,129.167000,0.401338,0.538117,0.309677,0.011054,0.014832,0.004789,0.014832
6,multi_offload,1,19,1,1,4,0.000000,74.333300,0.538117,26,0.524282,48,0,1,0,0.524282,0.537737,0.013455,0.013455,0.524282,0.000000,1,0,1,0,29,26,25,99.666700,74.333300,129.167000,0.401338,0.538117,0.309677,0.007330,0.011054,0.001151,0.007330
6,multi_offload,1,20,0,0,2,5.020730,99.666700,0.627591,29,0.524282,48,0,0,0,0.524282,0.537737,0.013455,0.013455,0.524282,0.000000,1,0,1,0,29,26,25,99.666700,74.333300,129.167000,0.627698,0.609963,0.130866,0.011054,0.012176,-0.013342,0.012176
6,multi_offload,1,21,0,0,3,0.000000,99.666700,1.003344,29,0.524282,48,0,0,0,0.524282,0.537737,0.013455,0.013455,0.524282,0.000000,1,0,1,1,29,26,25,99.666700,74.333300,129.167000,1.003344,1.345292,0.774192,0.011054,0.013455,0.006342,0.013455
6,multi_offload,1,22,0,0,3,0.000000,99.666700,1.003344,29,0.524282,48,0,0,0,0.524282,0.537737,0.013455,0.013455,0.524282,0.000000,1,0,1,1,29,26,25,99.666700,74.333300,129.167000,1.003344,1.345292,0.774192,0.011054,0.013455,0.006342,0.013455
6,multi_offload,1,23,0,0,1,3.506506,99.666700,1.168835,29,0.524282,48,0,0,0,0.524282,0.537737,0.013455,0.013455,0.524282,0.000000,1,0,1,1,29,26,25,99.666700,74.333300,129.167000,1.168841,1.097179,0.508119,0.011054,0.012233,0.003377,0.012233
6,multi_offload,1,24,0,0,2,5.020730,99.666700,0.627591,29,0.524282,48,0,0,0,0.524282,0.537737,0.013455,0.013455,0.524282,0.000000,1,0,1,0,29,26,25,99.666700,74.333300,129.167000,0.627698,0.609963,0.130866,0.011054,0.012176,-0.013342,0.012176
6,multi_offload,1,25,2,2,1,1.160176,129.167000,0.386725,25,0.524282,48,0,2,0,0.524282,0.537737,0.013455,0.013455,0.524282,0.000000,1,0,1,0,29,26,25,99.666700,74.333300,129.167000,1.129878,1.097179,0.546158,0.017966,0.019394,0.011054,0.019394
6,multi_offload,1,26,2,2,3,0.000000,129.167000,0.774192,25,0.524282,48,0,2,0,0.524282,0.537737,0.013455,0.013455,0.524282,0.000000,1,0,1,-1,29,26,25,99.666700,74.333300,129.167000,1.003344,1.345292,0.774192,0.015852,0.018295,0.011054,0.018295
6,multi_offload,1,27,0,0,2,5.021929,99.666700,0.627741,29,0.524282,48,0,0,0,0.524282,0.537737,0.013455,0.013455,0.524282,0.000000,1,0,1,0,29,26,25,99.666700,74.333300,129.167000,0.627686,0.609963,0.130866,0.011054,0.012176,-0.013342,0.012176
6,multi_offload,1,28,2,2,3,0.000000,129.167000,0.774192,25,0.524282,48,0,2,0,0.524282,0.537737,0.013455,0.013455,0.524282,0.000000,1,0,1,-1,29,26,25,99.666700,74.333300,129.167000,1.003344,1.345292,0.774192,0.015852,0.018295,0.011054,0.018295
6,multi_offload,1,29,1,1,3,0.000000,74.333300,1.345292,26,0.524282,48,0,1,0,0.524282,0.537737,0.013455,0.013455,0.524282,0.000000,1,0,1,-1,29,26,25,99.666700,74.333300,129.167000,1.003344,1.345292,0.774192,0.008675,0.011054,0.004004,0.008675
