run_id,seed,ue_id,app_type,current_ap,num_users_ap0,num_users_ap1,num_users_ap2,rtt_ap0,rtt_ap1,rtt_ap2,estimated_tp_ap0,estimated_tp_ap1,estimated_tp_ap2,assigned_ap
0,1,0,3,0,26.0,28.0,26.0,136.36363636363632,1061.3207547169793,1084.8126232741618,6.412695062940533,1.9924207503380733,0.4260863299692646,1
0,1,1,3,2,26.0,28.0,26.0,136.36363636363632,1061.3207547169793,1084.8126232741618,6.412695062940533,1.9924207503380733,0.4260863299692646,1
0,1,2,2,2,26.0,28.0,26.0,136.36363636363632,1061.3207547169793,1084.8126232741618,6.412695062940533,1.9924207503380733,0.4260863299692646,0
0,1,3,2,0,26.0,28.0,26.0,136.36363636363632,1061.3207547169793,1084.8126232741618,6.412695062940533,1.9924207503380733,0.4260863299692646,0
0,1,4,1,1,26.0,28.0,26.0,136.36363636363632,1061.3207547169793,1084.8126232741618,6.412695062940533,1.9924207503380733,0.4260863299692646,0
0,1,5,3,1,26.0,28.0,26.0,136.36363636363632,1061.3207547169793,1084.8126232741618,6.412695062940533,1.9924207503380733,0.4260863299692646,1
0,1,6,3,1,26.0,28.0,26.0,136.36363636363632,1061.3207547169793,1084.8126232741618,6.412695062940533,1.9924207503380733,0.4260863299692646,1
0,1,7,3,2,26.0,28.0,26.0,136.36363636363632,1061.3207547169793,1084.8126232741618,6.412695062940533,1.9924207503380733,0.4260863299692646,1
0,1,8,3,0,26.0,28.0,26.0,136.36363636363632,1061.3207547169793,1084.8126232741618,6.412695062940533,1.9924207503380733,0.4260863299692646,1
0,1,9,2,0,26.0,28.0,26.0,136.36363636363632,1061.3207547169793,1084.8126232741618,6.412695062940533,1.9924207503380733,0.4260863299692646,0
0,1,10,0,2,26.0,28.0,26.0,136.36363636363632,1061.3207547169793,1084.8126232741618,6.412695062940533,1.9924207503380733,0.4260863299692646,0
0,1,11,2,1,26.0,28.0,26.0,136.36363636363632,1061.3207547169793,1084.8126232741618,6.412695062940533,1.9924207503380733,0.4260863299692646,0
0,1,12,2,2,26.0,28.0,26.0,136.36363636363632,1061.3207547169793,1084.8126232741618,6.412695062940533,1.9924207503380733,0.4260863299692646,0
0,1,13,1,0,26.0,28.0,26.0,136.36363636363632,1061.3207547169793,1084.8126232741618,6.412695062940533,1.9924207503380733,0.4260863299692646,0
0,1,14,2,1,26.0,28.0,26.0,136.36363636363632,1061.3207547169793,1084.8126232741618,6.412695062940533,1.9924207503380733,0.4260863299692646,0
0,1,15,2,2,26.0,28.0,26.0,136.36363636363632,1061.3207547169793,1084.8126232741618,6.412695062940533,1.9924207503380733,0.4260863299692646,0
