seed,method,cycle_id,ue_id,previous_bs_id,current_bs_id,app_type,tp_mbps,rtt_ms,satisfaction,num_users_on_current_bs,harmonic_mean,num_unsatisfied_users,target_ue_flag,action_selected_bs_id,switch_flag,h_after_estimated,reward,measurement_valid
5,multi_greedy,1,1,0,0,1,3.508559,91.000000,1.169520,24,0.239927,53,0,0,0,0.356087,0.116161,1
5,multi_greedy,1,2,0,0,3,0.000000,91.000000,1.098901,24,0.239927,53,0,0,0,0.356087,0.116161,1
5,multi_greedy,1,3,1,1,1,3.203059,83.666700,1.067686,26,0.239927,53,0,1,0,0.356087,0.116161,1
5,multi_greedy,1,4,2,2,1,1.123409,128.500000,0.374470,30,0.239927,53,0,2,0,0.356087,0.116161,1
5,multi_greedy,1,5,2,2,2,0.375952,128.500000,0.046994,30,0.239927,53,0,2,0,0.356087,0.116161,1
5,multi_greedy,1,6,0,0,2,5.401991,91.000000,0.675249,24,0.239927,53,0,0,0,0.356087,0.116161,1
5,multi_greedy,1,7,1,1,1,3.158728,83.666700,1.052909,26,0.239927,53,0,1,0,0.356087,0.116161,1
5,multi_greedy,1,8,2,2,1,1.678563,128.500000,0.559521,30,0.239927,53,0,2,0,0.356087,0.116161,1
5,multi_greedy,1,9,2,2,2,0.581398,128.500000,0.072675,30,0.239927,53,0,0,1,0.356087,0.116161,1
5,multi_greedy,1,10,0,0,3,0.000000,91.000000,1.098901,24,0.239927,53,0,0,0,0.356087,0.116161,1
5,multi_greedy,1,11,0,0,1,3.508451,91.000000,1.169484,24,0.239927,53,0,0,0,0.356087,0.116161,1
5,multi_greedy,1,12,2,2,1,1.655402,128.500000,0.551801,30,0.239927,53,0,2,0,0.356087,0.116161,1
5,multi_greedy,1,13,0,0,2,5.401991,91.000000,0.675249,24,0.239927,53,0,0,0,0.356087,0.116161,1
5,multi_greedy,1,14,0,0,2,5.402002,91.000000,0.675250,24,0.239927,53,0,0,0,0.356087,0.116161,1
5,multi_greedy,1,15,0,0,2,5.401991,91.000000,0.675249,24,0.239927,53,0,0,0,0.356087,0.116161,1
5,multi_greedy,1,16,0,0,1,3.507840,91.000000,1.169280,24,0.239927,53,0,0,0,0.356087,0.116161,1
5,multi_greedy,1,17,2,2,2,0.732266,128.500000,0.091533,30,0.239927,53,0,0,1,0.356087,0.116161,1
5,multi_greedy,1,18,0,0,4,0.000000,91.000000,0.439560,24,0.239927,53,0,0,0,0.356087,0.116161,1
5,multi_greedy,1,19,0,0,1,3.507894,91.000000,1.169298,24,0.239927,53,0,0,0,0.356087,0.116161,1
5,multi_greedy,1,20,1,1,4,0.000000,83.666700,0.478087,26,0.239927,53,0,1,0,0.356087,0.116161,1
5,multi_greedy,1,21,0,0,3,0.000000,91.000000,1.098901,24,0.239927,53,0,0,0,0.356087,0.116161,1
5,multi_greedy,1,22,2,2,1,1.719547,128.500000,0.573182,30,0.239927,53,0,2,0,0.356087,0.116161,1
5,multi_greedy,1,23,2,2,4,0.000000,128.500000,0.311284,30,0.239927,53,0,2,0,0.356087,0.116161,1
5,multi_greedy,1,24,2,2,2,0.377033,128.500000,0.047129,30,0.239927,53,0,2,0,0.356087,0.116161,1
5,multi_greedy,1,25,2,2,1,1.404539,128.500000,0.468180,30,0.239927,53,0,2,0,0.356087,0.116161,1
5,multi_greedy,1,26,1,1,1,3.386464,83.666700,1.128821,26,0.239927,53,0,1,0,0.356087,0.116161,1
5,multi_greedy,1,27,2,2,2,0.481924,128.500000,0.060241,30,0.239927,53,0,2,0,0.356087,0.116161,1
5,multi_greedy,1,28,1,1,2,1.899411,83.666700,0.237426,26,0.239927,53,0,1,0,0.356087,0.116161,1
5,multi_greedy,1,29,1,1,2,1.899411,83.666700,0.237426,26,0.239927,53,0,1,0,0.356087,0.116161,1
5,multi_greedy,1,30,1,1,2,1.899411,83.666700,0.237426,26,0.239927,53,0,1,0,0.356087,0.116161,1
5,multi_greedy,1,31,1,1,3,0.000000,83.666700,1.195219,26,0.239927,53,0,1,0,0.356087,0.116161,1
5,multi_greedy,1,32,1,1,1,3.445004,83.666700,1.148335,26,0.239927,53,0,1,0,0.356087,0.116161,1
5,multi_greedy,1,33,0,0,4,0.000000,91.000000,0.439560,24,0.239927,53,0,0,0,0.356087,0.116161,1
5,multi_greedy,1,34,1,1,1,3.411728,83.666700,1.137243,26,0.239927,53,0,1,0,0.356087,0.116161,1
5,multi_greedy,1,35,2,2,2,0.687441,128.500000,0.085930,30,0.239927,53,0,0,1,0.356087,0.116161,1
5,multi_greedy,1,36,0,0,4,0.000000,91.000000,0.439560,24,0.239927,53,0,0,0,0.356087,0.116161,1
5,multi_greedy,1,37,2,2,4,0.000000,128.500000,0.311284,30,0.239927,53,0,2,0,0.356087,0.116161,1
5,multi_greedy,1,38,2,2,2,0.359545,128.500000,0.044943,30,0.239927,53,1,2,0,0.356087,0.116161,1
5,multi_greedy,1,39,2,2,1,1.646459,128.500000,0.548820,30,0.239927,53,0,2,0,0.356087,0.116161,1
5,multi_greedy,1,40,1,1,2,1.901662,83.666700,0.237708,26,0.239927,53,0,1,0,0.356087,0.116161,1
5,multi_greedy,1,41,2,2,2,0.736662,128.500000,0.092083,30,0.239927,53,0,0,1,0.356087,0.116161,1
5,multi_greedy,1,42,2,2,2,0.419660,128.500000,0.052458,30,0.239927,53,0,2,0,0.356087,0.116161,1
5,multi_greedy,1,43,1,1,3,0.000000,83.666700,1.195219,26,0.239927,53,0,1,0,0.356087,0.116161,1
5,multi_greedy,1,44,2,2,4,0.000000,128.500000,0.311284,30,0.239927,53,0,2,0,0.356087,0.116161,1
5,multi_greedy,1,45,2,2,3,0.000000,128.500000,0.778210,30,0.239927,53,0,2,0,0.356087,0.116161,1
5,multi_greedy,1,46,2,2,3,0.000000,128.500000,0.778210,30,0.239927,53,0,2,0,0.356087,0.116161,1
5,multi_greedy,1,47,1,1,2,1.901652,83.666700,0.237706,26,0.239927,53,0,1,0,0.356087,0.116161,1
5,multi_greedy,1,48,1,1,4,0.000000,83.666700,0.478087,26,0.239927,53,0,1,0,0.356087,0.116161,1
5,multi_greedy,1,49,0,0,2,6.310268,91.000000,0.788784,24,0.239927,53,0,0,0,0.356087,0.116161,1
5,multi_greedy,1,50,1,1,2,1.618574,83.666700,0.202322,26,0.239927,53,0,1,0,0.356087,0.116161,1
5,multi_greedy,1,51,2,2,4,0.000000,128.500000,0.311284,30,0.239927,53,0,2,0,0.356087,0.116161,1
5,multi_greedy,1,52,2,2,2,0.581446,128.500000,0.072681,30,0.239927,53,0,0,1,0.356087,0.116161,1
5,multi_greedy,1,53,2,2,3,0.000000,128.500000,0.778210,30,0.239927,53,0,2,0,0.356087,0.116161,1
5,multi_greedy,1,54,1,1,2,1.849188,83.666700,0.231148,26,0.239927,53,0,1,0,0.356087,0.116161,1
5,multi_greedy,1,55,2,2,3,0.000000,128.500000,0.778210,30,0.239927,53,0,2,0,0.356087,0.116161,1
5,multi_greedy,1,56,1,1,2,1.849176,83.666700,0.231147,26,0.239927,53,0,1,0,0.356087,0.116161,1
5,multi_greedy,1,57,0,0,1,3.510076,91.000000,1.170025,24,0.239927,53,0,0,0,0.356087,0.116161,1
5,multi_greedy,1,58,0,0,1,3.508555,91.000000,1.169518,24,0.239927,53,0,0,0,0.356087,0.116161,1
5,multi_greedy,1,59,0,0,4,0.000000,91.000000,0.439560,24,0.239927,53,0,0,0,0.356087,0.116161,1
5,multi_greedy,1,60,0,0,2,6.310268,91.000000,0.788784,24,0.239927,53,0,0,0,0.356087,0.116161,1
5,multi_greedy,1,61,1,1,4,0.000000,83.666700,0.478087,26,0.239927,53,0,1,0,0.356087,0.116161,1
5,multi_greedy,1,62,0,0,1,3.508555,91.000000,1.169518,24,0.239927,53,0,0,0,0.356087,0.116161,1
5,multi_greedy,1,63,1,1,2,1.900594,83.666700,0.237574,26,0.239927,53,0,1,0,0.356087,0.116161,1
5,multi_greedy,1,64,1,1,4,0.000000,83.666700,0.478087,26,0.239927,53,0,1,0,0.356087,0.116161,1
5,multi_greedy,1,65,2,2,4,0.000000,128.500000,0.311284,30,0.239927,53,0,2,0,0.356087,0.116161,1
5,multi_greedy,1,66,1,1,2,1.900570,83.666700,0.237571,26,0.239927,53,0,1,0,0.356087,0.116161,1
5,multi_greedy,1,67,2,2,1,1.400263,128.500000,0.466754,30,0.239927,53,0,2,0,0.356087,0.116161,1
5,multi_greedy,1,68,0,0,4,0.000000,91.000000,0.439560,24,0.239927,53,0,0,0,0.356087,0.116161,1
5,multi_greedy,1,69,2,2,4,0.000000,128.500000,0.311284,30,0.239927,53,0,2,0,0.356087,0.116161,1
5,multi_greedy,1,70,2,2,3,0.000000,128.500000,0.778210,30,0.239927,53,0,2,0,0.356087,0.116161,1
5,multi_greedy,1,71,1,1,2,1.617521,83.666700,0.202190,26,0.239927,53,0,1,0,0.356087,0.116161,1
5,multi_greedy,1,72,0,0,1,3.508401,91.000000,1.169467,24,0.239927,53,0,0,0,0.356087,0.116161,1
5,multi_greedy,1,73,2,2,2,0.481937,128.500000,0.060242,30,0.239927,53,0,2,0,0.356087,0.116161,1
5,multi_greedy,1,74,1,1,4,0.000000,83.666700,0.478087,26,0.239927,53,0,1,0,0.356087,0.116161,1
5,multi_greedy,1,75,2,2,2,0.733359,128.500000,0.091670,30,0.239927,53,0,0,1,0.356087,0.116161,1
5,multi_greedy,1,76,1,1,4,0.000000,83.666700,0.478087,26,0.239927,53,0,1,0,0.356087,0.116161,1
5,multi_greedy,1,77,0,0,3,0.000000,91.000000,1.098901,24,0.239927,53,0,0,0,0.356087,0.116161,1
5,multi_greedy,1,78,1,1,2,1.847019,83.666700,0.230877,26,0.239927,53,0,1,0,0.356087,0.116161,1
