seed,method,max_switches,cycle_id,ue_id,previous_bs_id,current_bs_id,app_type,tp_mbps,rtt_ms,satisfaction,num_users_on_current_bs,harmonic_mean,num_unsatisfied_users,target_ue_flag,action_selected_bs_id,switch_flag,h_before,h_after_estimated,reward,estimated_reward,h_after_measured,measured_reward,switch_count,num_degraded_users,measurement_valid,candidate_type,num_users_ap0,num_users_ap1,num_users_ap2,monitor_rtt_ap0,monitor_rtt_ap1,monitor_rtt_ap2,estimated_satisfaction_if_ap0,estimated_satisfaction_if_ap1,estimated_satisfaction_if_ap2,estimated_h_delta_if_ap0,estimated_h_delta_if_ap1,estimated_h_delta_if_ap2,best_estimated_h_delta,effective_max_switches,applied_switches_in_cycle,remaining_switch_budget,k_schedule_type,k_max,k_min,k_decay_rate,stop_action_flag,warmup_before_cycle_sec,cycle_start_offset_sec
1002,online_dqn,10,1,1,0,0,4,0.000000,94.000000,0.425532,30,0.310341,36,0,0,0,0.310341,0.529574,0.219234,0.219234,0.310341,0.000000,10,0,1,0,30,22,28,94.000000,80.666700,65.666700,0.425532,0.495868,0.609137,0.006703,0.006563,0.001291,0.006563,10,10,0,linear_decay,10,1,2,0,3.000000,4.000000
1002,online_dqn,10,1,2,0,0,2,6.186931,94.000000,0.773366,30,0.310341,36,0,0,0,0.310341,0.529574,0.219234,0.219234,0.310341,0.000000,10,0,1,-1,30,22,28,94.000000,80.666700,65.666700,0.707427,0.379252,0.088931,0.006703,0.004562,-0.011051,0.004562,10,10,0,linear_decay,10,1,2,0,3.000000,4.000000
1002,online_dqn,10,1,3,1,1,1,3.507798,80.666700,1.169266,22,0.310341,36,0,1,0,0.310341,0.529574,0.219234,0.219234,0.310341,0.000000,10,0,1,-1,30,22,28,94.000000,80.666700,65.666700,1.130906,1.168765,0.592033,0.007178,0.006703,-0.000081,0.007178,10,10,0,linear_decay,10,1,2,0,3.000000,4.000000
1002,online_dqn,10,1,4,1,1,2,3.822936,80.666700,0.477867,22,0.310341,36,0,1,0,0.310341,0.529574,0.219234,0.219234,0.310341,0.000000,10,0,1,0,30,22,28,94.000000,80.666700,65.666700,0.692583,0.384865,0.088931,0.008576,0.006703,-0.009295,0.008576,10,10,0,linear_decay,10,1,2,0,3.000000,4.000000
1002,online_dqn,10,1,5,2,2,1,1.857612,65.666700,0.619204,28,0.310341,36,0,2,0,0.310341,0.529574,0.219234,0.219234,0.310341,0.000000,10,0,1,-1,30,22,28,94.000000,80.666700,65.666700,1.130906,1.118069,0.611670,0.014139,0.013541,0.006703,0.014139,10,10,0,linear_decay,10,1,2,0,3.000000,4.000000
1002,online_dqn,10,1,6,0,0,3,0.000000,94.000000,1.063830,30,0.310341,36,0,0,0,0.310341,0.529574,0.219234,0.219234,0.310341,0.000000,10,0,1,1,30,22,28,94.000000,80.666700,65.666700,1.063830,1.239669,1.522842,0.006703,0.006312,0.000776,0.006312,10,10,0,linear_decay,10,1,2,0,3.000000,4.000000
1002,online_dqn,10,1,7,0,0,4,0.000000,94.000000,0.425532,30,0.310341,36,0,0,0,0.310341,0.529574,0.219234,0.219234,0.310341,0.000000,10,0,1,0,30,22,28,94.000000,80.666700,65.666700,0.425532,0.495868,0.609137,0.006703,0.006563,0.001291,0.006563,10,10,0,linear_decay,10,1,2,0,3.000000,4.000000
1002,online_dqn,10,1,8,2,2,4,0.000000,65.666700,0.609137,28,0.310341,36,0,2,0,0.310341,0.529574,0.219234,0.219234,0.310341,0.000000,10,0,1,-1,30,22,28,94.000000,80.666700,65.666700,0.425532,0.495868,0.609137,0.012306,0.012161,0.006703,0.012306,10,10,0,linear_decay,10,1,2,0,3.000000,4.000000
1002,online_dqn,10,1,9,2,2,3,0.000000,65.666700,1.522842,28,0.310341,36,0,2,0,0.310341,0.529574,0.219234,0.219234,0.310341,0.000000,10,0,1,1,30,22,28,94.000000,80.666700,65.666700,1.063830,1.239669,1.522842,0.012860,0.012454,0.006703,0.012860,10,10,0,linear_decay,10,1,2,0,3.000000,4.000000
1002,online_dqn,10,1,10,1,1,2,3.818480,80.666700,0.477310,22,0.310341,36,0,1,0,0.310341,0.529574,0.219234,0.219234,0.310341,0.000000,10,0,1,0,30,22,28,94.000000,80.666700,65.666700,0.692583,0.384945,0.088931,0.008575,0.006703,-0.009296,0.008575,10,10,0,linear_decay,10,1,2,0,3.000000,4.000000
