■全組み合わせ数: 5151
■対象組み合わせ数: 231

■最適な組み合わせ
端末No	基地局No	RTTギャップ
端末1	基地局1		0.833
端末2	基地局1		0.833
端末3	基地局1		0.833
端末4	基地局3		1
端末5	基地局2		1
端末6	基地局2		1
端末7	基地局3		1
端末8	基地局3		1
端末9	基地局1		1
端末10	基地局1		0.833
端末11	基地局3		1
端末12	基地局3		1
端末13	基地局1		0.833
端末14	基地局2		1
端末15	基地局1		1
端末16	基地局2		1
端末17	基地局2		1
端末18	基地局3		1
端末19	基地局2		1
端末20	基地局2		1
端末21	基地局3		1
端末22	基地局2		1
端末23	基地局1		0.833
端末24	基地局1		0.833
端末25	基地局1		1
端末26	基地局2		1
端末27	基地局1		0.833
端末28	基地局3		1
端末29	基地局3		1
端末30	基地局3		1
端末31	基地局3		1
端末32	基地局2		1
端末33	基地局1		nan
端末34	基地局1		nan
端末35	基地局1		0.833
端末36	基地局1		1
端末37	基地局1		1
端末38	基地局1		nan
端末39	基地局1		0.833
端末40	基地局1		0.833
端末41	基地局1		1
端末42	基地局1		0.833
端末43	基地局3		1
端末44	基地局1		1
端末45	基地局3		1
端末46	基地局1		1
端末47	基地局1		0.833
端末48	基地局1		0.833
端末49	基地局1		0.833
端末50	基地局3		1
端末51	基地局1		nan
端末52	基地局1		nan
端末53	基地局1		1
端末54	基地局3		1
端末55	基地局1		0.833
端末56	基地局1		1
端末57	基地局1		0.833
端末58	基地局1		0.833
端末59	基地局1		1
端末60	基地局1		1
端末61	基地局3		1
端末62	基地局1		1
端末63	基地局1		0.833
端末64	基地局3		1
端末65	基地局1		0.833
端末66	基地局1		0.833
端末67	基地局1		0.833
端末68	基地局1		nan
端末69	基地局1		nan
端末70	基地局1		1
端末71	基地局1		nan
端末72	基地局1		0.833
端末73	基地局3		1
端末74	基地局1		nan
端末75	基地局3		1
端末76	基地局3		0.228
端末77	基地局1		1
端末78	基地局3		0.228
端末79	基地局1		0.833
端末80	基地局1		1
端末81	基地局3		1
端末82	基地局1		0.833
端末83	基地局3		1
端末84	基地局1		nan
端末85	基地局1		nan
端末86	基地局3		1
端末87	基地局1		1
端末88	基地局3		1
端末89	基地局3		1
端末90	基地局1		0.833
端末91	基地局1		nan
端末92	基地局1		nan
端末93	基地局3		1
端末94	基地局3		1
端末95	基地局3		1
端末96	基地局1		0.833
端末97	基地局3		1
端末98	基地局1		nan
端末99	基地局1		0.833
端末100	基地局1		1

■各基地局の接続端末数
基地局No	接続端末数
基地局1		60
基地局2		10
基地局3		30

■各基地局の応答速度
基地局No		RTT	TP
基地局1		nanms	5.00Mbps
基地局2		174.00ms	8.00Mbps
基地局3		876.00ms	7.00Mbps

■不満端末数		44

■端末満足度の調和平均	0.00
■最低値		0.00
