seed,method,max_switches,cycle_id,ue_id,previous_bs_id,current_bs_id,app_type,tp_mbps,rtt_ms,satisfaction,num_users_on_current_bs,harmonic_mean,num_unsatisfied_users,target_ue_flag,action_selected_bs_id,switch_flag,h_before,h_after_estimated,reward,estimated_reward,h_after_measured,measured_reward,switch_count,num_degraded_users,measurement_valid,candidate_type,num_users_ap0,num_users_ap1,num_users_ap2,monitor_rtt_ap0,monitor_rtt_ap1,monitor_rtt_ap2,estimated_satisfaction_if_ap0,estimated_satisfaction_if_ap1,estimated_satisfaction_if_ap2,estimated_h_delta_if_ap0,estimated_h_delta_if_ap1,estimated_h_delta_if_ap2,best_estimated_h_delta,effective_max_switches,applied_switches_in_cycle,remaining_switch_budget,k_schedule_type,k_max,k_min,k_decay_rate,stop_action_flag,warmup_before_cycle_sec,cycle_start_offset_sec
1,multi_greedy,1,1,1,2,2,4,0.000000,94.833300,0.421793,24,0.376814,33,0,2,0,0.376814,0.391079,0.014266,0.014266,0.376814,0.000000,1,0,1,0,20,36,24,69.833300,84.666700,94.833300,0.572793,0.472441,0.421793,0.004029,-0.000816,0.000086,0.004029,1,1,0,fixed,1,1,0,0,3.000000,4.000000
1,multi_greedy,1,1,2,1,1,2,1.290666,84.666700,0.161333,36,0.376814,33,0,1,0,0.376814,0.391079,0.014266,0.014266,0.376814,0.000000,1,0,1,0,20,36,24,69.833300,84.666700,94.833300,0.875479,0.161389,0.126739,0.013353,0.000086,-0.001863,0.013353,1,1,0,fixed,1,1,0,0,3.000000,4.000000
1,multi_greedy,1,1,3,1,1,2,1.291792,84.666700,0.161474,36,0.376814,33,0,1,0,0.376814,0.391079,0.014266,0.014266,0.376814,0.000000,1,0,1,0,20,36,24,69.833300,84.666700,94.833300,0.875479,0.161378,0.126739,0.013353,0.000086,-0.001862,0.013353,1,1,0,fixed,1,1,0,0,3.000000,4.000000
1,multi_greedy,1,1,4,1,1,1,2.746776,84.666700,0.915592,36,0.376814,33,0,1,0,0.376814,0.391079,0.014266,0.014266,0.376814,0.000000,1,0,1,-1,20,36,24,69.833300,84.666700,94.833300,2.334611,0.876284,0.747950,0.005520,0.000086,0.001039,0.005520,1,1,0,fixed,1,1,0,0,3.000000,4.000000
1,multi_greedy,1,1,5,1,1,2,1.291816,84.666700,0.161477,36,0.376814,33,0,1,0,0.376814,0.391079,0.014266,0.014266,0.376814,0.000000,1,0,1,0,20,36,24,69.833300,84.666700,94.833300,0.875479,0.161378,0.126739,0.013353,0.000086,-0.001862,0.013353,1,1,0,fixed,1,1,0,0,3.000000,4.000000
1,multi_greedy,1,1,6,2,2,4,0.000000,94.833300,0.421793,24,0.376814,33,0,2,0,0.376814,0.391079,0.014266,0.014266,0.376814,0.000000,1,0,1,0,20,36,24,69.833300,84.666700,94.833300,0.572793,0.472441,0.421793,0.004029,-0.000816,0.000086,0.004029,1,1,0,fixed,1,1,0,0,3.000000,4.000000
1,multi_greedy,1,1,7,0,0,3,0.000000,69.833300,1.431982,20,0.376814,33,0,0,0,0.376814,0.391079,0.014266,0.014266,0.376814,0.000000,1,0,1,-1,20,36,24,69.833300,84.666700,94.833300,1.431982,1.181102,1.054482,0.000086,-0.004274,-0.003123,0.000000,1,1,0,fixed,1,1,0,0,3.000000,4.000000
1,multi_greedy,1,1,8,1,1,3,0.000000,84.666700,1.181102,36,0.376814,33,0,1,0,0.376814,0.391079,0.014266,0.014266,0.376814,0.000000,1,0,1,1,20,36,24,69.833300,84.666700,94.833300,1.431982,1.181102,1.054482,0.004548,0.000086,0.001264,0.004548,1,1,0,fixed,1,1,0,0,3.000000,4.000000
1,multi_greedy,1,1,9,2,2,2,1.060070,94.833300,0.132509,24,0.376814,33,0,2,0,0.376814,0.391079,0.014266,0.014266,0.376814,0.000000,1,0,1,0,20,36,24,69.833300,84.666700,94.833300,0.875479,0.157023,0.131897,0.014266,0.000324,0.000086,0.014266,1,1,0,fixed,1,1,0,0,3.000000,4.000000
1,multi_greedy,1,1,10,1,1,1,2.758055,84.666700,0.919352,36,0.376814,33,0,1,0,0.376814,0.391079,0.014266,0.014266,0.376814,0.000000,1,0,1,-1,20,36,24,69.833300,84.666700,94.833300,2.334611,0.875747,0.747950,0.005521,0.000086,0.001040,0.005521,1,1,0,fixed,1,1,0,0,3.000000,4.000000
