seed,method,max_switches,cycle_id,ue_id,previous_bs_id,current_bs_id,app_type,tp_mbps,rtt_ms,satisfaction,num_users_on_current_bs,harmonic_mean,num_unsatisfied_users,target_ue_flag,action_selected_bs_id,switch_flag,h_before,h_after_estimated,reward,estimated_reward,h_after_measured,measured_reward,switch_count,num_degraded_users,measurement_valid,candidate_type,num_users_ap0,num_users_ap1,num_users_ap2,monitor_rtt_ap0,monitor_rtt_ap1,monitor_rtt_ap2,estimated_satisfaction_if_ap0,estimated_satisfaction_if_ap1,estimated_satisfaction_if_ap2,estimated_h_delta_if_ap0,estimated_h_delta_if_ap1,estimated_h_delta_if_ap2,best_estimated_h_delta,effective_max_switches,applied_switches_in_cycle,remaining_switch_budget,k_schedule_type,k_max,k_min,k_decay_rate,stop_action_flag,warmup_before_cycle_sec,cycle_start_offset_sec
9,multi_greedy,1,1,1,1,1,2,1.496181,86.833300,0.187023,34,0.321428,42,0,1,0,0.321428,0.337206,0.015779,0.015779,0.321428,0.000000,1,0,1,0,26,34,20,82.833300,86.833300,63.666700,0.747438,0.186906,0.105531,0.008033,0.000059,-0.008099,0.008033,1,1,0,fixed,1,1,0,0,3.000000,4.000000
9,multi_greedy,1,1,2,1,1,3,0.000000,86.833300,1.151632,34,0.321428,42,0,1,0,0.321428,0.337206,0.015779,0.015779,0.321428,0.000000,1,0,1,1,26,34,20,82.833300,86.833300,63.666700,1.207244,1.151632,1.570680,0.002936,0.000059,-0.002459,0.002936,1,1,0,fixed,1,1,0,0,3.000000,4.000000
9,multi_greedy,1,1,3,1,1,3,0.000000,86.833300,1.151632,34,0.321428,42,0,1,0,0.321428,0.337206,0.015779,0.015779,0.321428,0.000000,1,0,1,1,26,34,20,82.833300,86.833300,63.666700,1.207244,1.151632,1.570680,0.002936,0.000059,-0.002459,0.002936,1,1,0,fixed,1,1,0,0,3.000000,4.000000
9,multi_greedy,1,1,4,1,1,1,2.977126,86.833300,0.992375,34,0.321428,42,0,1,0,0.321428,0.337206,0.015779,0.015779,0.321428,0.000000,1,0,1,-1,26,34,20,82.833300,86.833300,63.666700,1.128527,1.029543,0.688782,0.002958,0.000059,-0.003398,0.002958,1,1,0,fixed,1,1,0,0,3.000000,4.000000
9,multi_greedy,1,1,5,0,0,4,0.000000,82.833300,0.482898,26,0.321428,42,0,0,0,0.321428,0.337206,0.015779,0.015779,0.321428,0.000000,1,0,1,0,26,34,20,82.833300,86.833300,63.666700,0.482898,0.460653,0.628272,0.000059,-0.002843,-0.004882,0.000000,1,1,0,fixed,1,1,0,0,3.000000,4.000000
9,multi_greedy,1,1,6,0,0,2,5.866480,82.833300,0.733310,26,0.321428,42,0,0,0,0.321428,0.337206,0.015779,0.015779,0.321428,0.000000,1,0,1,-1,26,34,20,82.833300,86.833300,63.666700,0.784761,0.181573,0.105531,0.000059,-0.008062,-0.015451,0.000000,1,1,0,fixed,1,1,0,0,3.000000,4.000000
9,multi_greedy,1,1,7,2,2,3,0.000000,63.666700,1.570680,20,0.321428,42,0,2,0,0.321428,0.337206,0.015779,0.015779,0.321428,0.000000,1,0,1,-1,26,34,20,82.833300,86.833300,63.666700,1.207244,1.151632,1.570680,0.005541,0.002618,0.000059,0.005541,1,1,0,fixed,1,1,0,0,3.000000,4.000000
9,multi_greedy,1,1,8,0,0,3,0.000000,82.833300,1.207244,26,0.321428,42,0,0,0,0.321428,0.337206,0.015779,0.015779,0.321428,0.000000,1,0,1,-1,26,34,20,82.833300,86.833300,63.666700,1.207244,1.151632,1.570680,0.000059,-0.002767,-0.005242,0.000000,1,1,0,fixed,1,1,0,0,3.000000,4.000000
9,multi_greedy,1,1,9,1,1,2,1.496105,86.833300,0.187013,34,0.321428,42,0,1,0,0.321428,0.337206,0.015779,0.015779,0.321428,0.000000,1,0,1,0,26,34,20,82.833300,86.833300,63.666700,0.747438,0.186906,0.105531,0.008033,0.000059,-0.008099,0.008033,1,1,0,fixed,1,1,0,0,3.000000,4.000000
9,multi_greedy,1,1,10,1,1,1,3.115117,86.833300,1.038372,34,0.321428,42,0,1,0,0.321428,0.337206,0.015779,0.015779,0.321428,0.000000,1,0,1,1,26,34,20,82.833300,86.833300,63.666700,1.128527,1.018044,0.688782,0.002972,0.000059,-0.003385,0.002972,1,1,0,fixed,1,1,0,0,3.000000,4.000000
9,multi_greedy,1,1,11,1,1,2,1.496094,86.833300,0.187012,34,0.321428,42,0,1,0,0.321428,0.337206,0.015779,0.015779,0.321428,0.000000,1,0,1,0,26,34,20,82.833300,86.833300,63.666700,0.747438,0.186906,0.105531,0.008033,0.000059,-0.008099,0.008033,1,1,0,fixed,1,1,0,0,3.000000,4.000000
9,multi_greedy,1,1,12,0,0,3,0.000000,82.833300,1.207244,26,0.321428,42,0,0,0,0.321428,0.337206,0.015779,0.015779,0.321428,0.000000,1,0,1,-1,26,34,20,82.833300,86.833300,63.666700,1.207244,1.151632,1.570680,0.000059,-0.002767,-0.005242,0.000000,1,1,0,fixed,1,1,0,0,3.000000,4.000000
9,multi_greedy,1,1,13,0,0,3,0.000000,82.833300,1.207244,26,0.321428,42,0,0,0,0.321428,0.337206,0.015779,0.015779,0.321428,0.000000,1,0,1,-1,26,34,20,82.833300,86.833300,63.666700,1.207244,1.151632,1.570680,0.000059,-0.002767,-0.005242,0.000000,1,1,0,fixed,1,1,0,0,3.000000,4.000000
9,multi_greedy,1,1,14,1,1,1,3.055273,86.833300,1.018424,34,0.321428,42,0,1,0,0.321428,0.337206,0.015779,0.015779,0.321428,0.000000,1,0,1,1,26,34,20,82.833300,86.833300,63.666700,1.128527,1.023031,0.688782,0.002966,0.000059,-0.003391,0.002966,1,1,0,fixed,1,1,0,0,3.000000,4.000000
9,multi_greedy,1,1,15,0,0,1,3.510001,82.833300,1.170000,26,0.321428,42,0,0,0,0.321428,0.337206,0.015779,0.015779,0.321428,0.000000,1,0,1,-1,26,34,20,82.833300,86.833300,63.666700,1.172318,0.992907,0.688782,0.000059,-0.002954,-0.006267,0.000000,1,1,0,fixed,1,1,0,0,3.000000,4.000000
9,multi_greedy,1,1,16,1,1,2,1.496094,86.833300,0.187012,34,0.321428,42,0,1,0,0.321428,0.337206,0.015779,0.015779,0.321428,0.000000,1,0,1,0,26,34,20,82.833300,86.833300,63.666700,0.747438,0.186906,0.105531,0.008033,0.000059,-0.008099,0.008033,1,1,0,fixed,1,1,0,0,3.000000,4.000000
9,multi_greedy,1,1,17,1,1,4,0.000000,86.833300,0.460653,34,0.321428,42,0,1,0,0.321428,0.337206,0.015779,0.015779,0.321428,0.000000,1,0,1,0,26,34,20,82.833300,86.833300,63.666700,0.482898,0.460653,0.628272,0.003015,0.000059,-0.002017,0.003015,1,1,0,fixed,1,1,0,0,3.000000,4.000000
9,multi_greedy,1,1,18,1,1,4,0.000000,86.833300,0.460653,34,0.321428,42,0,1,0,0.321428,0.337206,0.015779,0.015779,0.321428,0.000000,1,0,1,0,26,34,20,82.833300,86.833300,63.666700,0.482898,0.460653,0.628272,0.003015,0.000059,-0.002017,0.003015,1,1,0,fixed,1,1,0,0,3.000000,4.000000
