seed,method,max_switches,cycle_id,ue_id,previous_bs_id,current_bs_id,app_type,tp_mbps,rtt_ms,satisfaction,num_users_on_current_bs,harmonic_mean,num_unsatisfied_users,target_ue_flag,action_selected_bs_id,switch_flag,h_before,h_after_estimated,reward,estimated_reward,h_after_measured,measured_reward,switch_count,num_degraded_users,measurement_valid,candidate_type,num_users_ap0,num_users_ap1,num_users_ap2,monitor_rtt_ap0,monitor_rtt_ap1,monitor_rtt_ap2,estimated_satisfaction_if_ap0,estimated_satisfaction_if_ap1,estimated_satisfaction_if_ap2,estimated_h_delta_if_ap0,estimated_h_delta_if_ap1,estimated_h_delta_if_ap2,best_estimated_h_delta,effective_max_switches,applied_switches_in_cycle,remaining_switch_budget,k_schedule_type,k_max,k_min,k_decay_rate,stop_action_flag,warmup_before_cycle_sec,cycle_start_offset_sec
9,multi_greedy,3,1,24,0,0,1,3.510616,82.833300,1.170205,26,0.321428,42,0,0,0,0.321428,0.368583,0.047155,0.047155,0.321428,0.000000,3,0,1,-1,26,34,20,82.833300,86.833300,63.666700,1.172277,0.992907,0.688782,0.000059,-0.002954,-0.006267,0.000000,3,3,0,fixed,3,3,0,0,3.000000,4.000000
9,multi_greedy,3,1,25,1,1,2,1.493926,86.833300,0.186741,34,0.321428,42,0,1,0,0.321428,0.368583,0.047155,0.047155,0.321428,0.000000,3,0,1,0,26,34,20,82.833300,86.833300,63.666700,0.747438,0.186924,0.105531,0.008032,0.000059,-0.008100,0.008032,3,3,0,fixed,3,3,0,0,3.000000,4.000000
9,multi_greedy,3,1,26,1,1,2,1.493950,86.833300,0.186744,34,0.321428,42,0,1,0,0.321428,0.368583,0.047155,0.047155,0.321428,0.000000,3,0,1,0,26,34,20,82.833300,86.833300,63.666700,0.747438,0.186924,0.105531,0.008032,0.000059,-0.008100,0.008032,3,3,0,fixed,3,3,0,0,3.000000,4.000000
9,multi_greedy,3,1,27,0,0,2,5.867562,82.833300,0.733445,26,0.321428,42,0,0,0,0.321428,0.368583,0.047155,0.047155,0.321428,0.000000,3,0,1,-1,26,34,20,82.833300,86.833300,63.666700,0.784734,0.181573,0.105531,0.000059,-0.008062,-0.015451,0.000000,3,3,0,fixed,3,3,0,0,3.000000,4.000000
9,multi_greedy,3,1,28,2,2,4,0.000000,63.666700,0.628272,20,0.321428,42,0,2,0,0.321428,0.368583,0.047155,0.047155,0.321428,0.000000,3,0,1,-1,26,34,20,82.833300,86.833300,63.666700,0.482898,0.460653,0.628272,0.005157,0.002162,0.000059,0.005157,3,3,0,fixed,3,3,0,0,3.000000,4.000000
9,multi_greedy,3,1,29,0,0,4,0.000000,82.833300,0.482898,26,0.321428,42,0,0,0,0.321428,0.368583,0.047155,0.047155,0.321428,0.000000,3,0,1,0,26,34,20,82.833300,86.833300,63.666700,0.482898,0.460653,0.628272,0.000059,-0.002843,-0.004882,0.000000,3,3,0,fixed,3,3,0,0,3.000000,4.000000
9,multi_greedy,3,1,30,0,0,4,0.000000,82.833300,0.482898,26,0.321428,42,0,0,0,0.321428,0.368583,0.047155,0.047155,0.321428,0.000000,3,0,1,0,26,34,20,82.833300,86.833300,63.666700,0.482898,0.460653,0.628272,0.000059,-0.002843,-0.004882,0.000000,3,3,0,fixed,3,3,0,0,3.000000,4.000000
9,multi_greedy,3,1,31,0,0,4,0.000000,82.833300,0.482898,26,0.321428,42,0,0,0,0.321428,0.368583,0.047155,0.047155,0.321428,0.000000,3,0,1,0,26,34,20,82.833300,86.833300,63.666700,0.482898,0.460653,0.628272,0.000059,-0.002843,-0.004882,0.000000,3,3,0,fixed,3,3,0,0,3.000000,4.000000
9,multi_greedy,3,1,32,2,2,2,0.885231,63.666700,0.110654,20,0.321428,42,0,2,0,0.321428,0.368583,0.047155,0.047155,0.321428,0.000000,3,0,1,0,26,34,20,82.833300,86.833300,63.666700,0.747438,0.181573,0.110824,0.015775,0.007003,0.000059,0.015775,3,3,0,fixed,3,3,0,0,3.000000,4.000000
9,multi_greedy,3,1,33,0,0,1,3.509548,82.833300,1.169849,26,0.321428,42,0,0,0,0.321428,0.368583,0.047155,0.047155,0.321428,0.000000,3,0,1,-1,26,34,20,82.833300,86.833300,63.666700,1.172348,0.992907,0.688782,0.000059,-0.002954,-0.006267,0.000000,3,3,0,fixed,3,3,0,0,3.000000,4.000000
