seed,method,max_switches,cycle_id,ue_id,previous_bs_id,current_bs_id,app_type,tp_mbps,rtt_ms,satisfaction,num_users_on_current_bs,harmonic_mean,num_unsatisfied_users,target_ue_flag,action_selected_bs_id,switch_flag,h_before,h_after_estimated,reward,estimated_reward,h_after_measured,measured_reward,switch_count,num_degraded_users,measurement_valid,candidate_type,num_users_ap0,num_users_ap1,num_users_ap2,monitor_rtt_ap0,monitor_rtt_ap1,monitor_rtt_ap2,estimated_satisfaction_if_ap0,estimated_satisfaction_if_ap1,estimated_satisfaction_if_ap2,estimated_h_delta_if_ap0,estimated_h_delta_if_ap1,estimated_h_delta_if_ap2,best_estimated_h_delta,effective_max_switches,applied_switches_in_cycle,remaining_switch_budget,k_schedule_type,k_max,k_min,k_decay_rate,stop_action_flag,warmup_before_cycle_sec,cycle_start_offset_sec
1007,centralized_dqn,80,1,1,0,0,4,0.000000,99.833300,0.400668,32,0.407261,50,0,2,1,0.407261,0.574418,0.167157,0.167157,0.407261,0.000000,43,0,1,0,32,31,17,99.833300,86.166700,63.166700,0.400668,0.464216,0.633245,0.041020,0.039390,0.044852,0.044852,80,43,37,fixed,80,1,1,0,3.000000,4.000000
1007,centralized_dqn,80,1,2,0,0,4,0.000000,99.833300,0.400668,32,0.407261,50,0,2,1,0.407261,0.574418,0.167157,0.167157,0.407261,0.000000,43,0,1,0,32,31,17,99.833300,86.166700,63.166700,0.400668,0.464216,0.633245,0.041020,0.039390,0.044852,0.044852,80,43,37,fixed,80,1,1,0,3.000000,4.000000
1007,centralized_dqn,80,1,3,0,0,1,3.507350,99.833300,1.169117,32,0.407261,50,0,1,1,0.407261,0.574418,0.167157,0.167157,0.407261,0.000000,43,0,1,1,32,31,17,99.833300,86.166700,63.166700,1.168639,1.010069,1.103028,0.041020,0.038139,0.042325,0.042325,80,43,37,fixed,80,1,1,0,3.000000,4.000000
1007,centralized_dqn,80,1,4,0,0,2,3.895069,99.833300,0.486884,32,0.407261,50,0,0,0,0.407261,0.574418,0.167157,0.167157,0.407261,0.000000,43,0,1,0,32,31,17,99.833300,86.166700,63.166700,0.452413,0.204326,0.366519,0.041020,0.031804,0.041042,0.041042,80,43,37,fixed,80,1,1,0,3.000000,4.000000
1007,centralized_dqn,80,1,5,1,1,2,1.686339,86.166700,0.210792,31,0.407261,50,0,1,0,0.407261,0.574418,0.167157,0.167157,0.407261,0.000000,43,0,1,0,32,31,17,99.833300,86.166700,63.166700,0.440670,0.210927,0.366519,0.049496,0.041020,0.049853,0.049853,80,43,37,fixed,80,1,1,0,3.000000,4.000000
1007,centralized_dqn,80,1,6,0,0,2,3.865424,99.833300,0.483178,32,0.407261,50,0,0,0,0.407261,0.574418,0.167157,0.167157,0.407261,0.000000,43,0,1,0,32,31,17,99.833300,86.166700,63.166700,0.452645,0.204326,0.366519,0.041020,0.031801,0.041039,0.041039,80,43,37,fixed,80,1,1,0,3.000000,4.000000
1007,centralized_dqn,80,1,7,1,1,1,3.104112,86.166700,1.034704,31,0.407261,50,0,2,1,0.407261,0.574418,0.167157,0.167157,0.407261,0.000000,43,0,1,1,32,31,17,99.833300,86.166700,63.166700,1.133318,1.044639,1.103028,0.043640,0.041020,0.045097,0.045097,80,43,37,fixed,80,1,1,0,3.000000,4.000000
1007,centralized_dqn,80,1,8,2,2,1,3.506577,63.166700,1.168859,17,0.407261,50,0,1,1,0.407261,0.574418,0.167157,0.167157,0.407261,0.000000,43,0,1,-1,32,31,17,99.833300,86.166700,63.166700,1.133318,1.010069,1.166965,0.039339,0.036611,0.041020,0.039339,80,43,37,fixed,80,1,1,0,3.000000,4.000000
1007,centralized_dqn,80,1,9,1,1,1,3.140006,86.166700,1.046669,31,0.407261,50,0,0,1,0.407261,0.574418,0.167157,0.167157,0.407261,0.000000,43,0,1,1,32,31,17,99.833300,86.166700,63.166700,1.133318,1.041648,1.103028,0.043646,0.041020,0.045104,0.045104,80,43,37,fixed,80,1,1,0,3.000000,4.000000
1007,centralized_dqn,80,1,10,1,1,4,0.000000,86.166700,0.464216,31,0.407261,50,0,2,1,0.407261,0.574418,0.167157,0.167157,0.407261,0.000000,43,0,1,0,32,31,17,99.833300,86.166700,63.166700,0.400668,0.464216,0.633245,0.042662,0.041020,0.046522,0.046522,80,43,37,fixed,80,1,1,0,3.000000,4.000000
1007,centralized_dqn,80,1,11,2,2,4,0.000000,63.166700,0.633245,17,0.407261,50,0,2,0,0.407261,0.574418,0.167157,0.167157,0.407261,0.000000,43,0,1,-1,32,31,17,99.833300,86.166700,63.166700,0.400668,0.464216,0.633245,0.037252,0.035649,0.041020,0.037252,80,43,37,fixed,80,1,1,0,3.000000,4.000000
1007,centralized_dqn,80,1,12,0,0,2,3.866530,99.833300,0.483316,32,0.407261,50,0,0,0,0.407261,0.574418,0.167157,0.167157,0.407261,0.000000,43,0,1,0,32,31,17,99.833300,86.166700,63.166700,0.452636,0.204326,0.366519,0.041020,0.031801,0.041039,0.041039,80,43,37,fixed,80,1,1,0,3.000000,4.000000
1007,centralized_dqn,80,1,13,1,1,2,1.687361,86.166700,0.210920,31,0.407261,50,0,2,1,0.407261,0.574418,0.167157,0.167157,0.407261,0.000000,43,0,1,0,32,31,17,99.833300,86.166700,63.166700,0.440670,0.210917,0.366519,0.049496,0.041020,0.049853,0.049853,80,43,37,fixed,80,1,1,0,3.000000,4.000000
1007,centralized_dqn,80,1,14,1,1,1,3.100684,86.166700,1.033561,31,0.407261,50,0,1,0,0.407261,0.574418,0.167157,0.167157,0.407261,0.000000,43,0,1,1,32,31,17,99.833300,86.166700,63.166700,1.133318,1.044925,1.103028,0.043639,0.041020,0.045096,0.045096,80,43,37,fixed,80,1,1,0,3.000000,4.000000
1007,centralized_dqn,80,1,15,0,0,2,3.867611,99.833300,0.483451,32,0.407261,50,0,0,0,0.407261,0.574418,0.167157,0.167157,0.407261,0.000000,43,0,1,0,32,31,17,99.833300,86.166700,63.166700,0.452628,0.204326,0.366519,0.041020,0.031801,0.041039,0.041039,80,43,37,fixed,80,1,1,0,3.000000,4.000000
1007,centralized_dqn,80,1,16,1,1,4,0.000000,86.166700,0.464216,31,0.407261,50,0,0,1,0.407261,0.574418,0.167157,0.167157,0.407261,0.000000,43,0,1,0,32,31,17,99.833300,86.166700,63.166700,0.400668,0.464216,0.633245,0.042662,0.041020,0.046522,0.046522,80,43,37,fixed,80,1,1,0,3.000000,4.000000
1007,centralized_dqn,80,1,17,1,1,4,0.000000,86.166700,0.464216,31,0.407261,50,0,2,1,0.407261,0.574418,0.167157,0.167157,0.407261,0.000000,43,0,1,0,32,31,17,99.833300,86.166700,63.166700,0.400668,0.464216,0.633245,0.042662,0.041020,0.046522,0.046522,80,43,37,fixed,80,1,1,0,3.000000,4.000000
1007,centralized_dqn,80,1,18,0,0,4,0.000000,99.833300,0.400668,32,0.407261,50,0,2,1,0.407261,0.574418,0.167157,0.167157,0.407261,0.000000,43,0,1,0,32,31,17,99.833300,86.166700,63.166700,0.400668,0.464216,0.633245,0.041020,0.039390,0.044852,0.044852,80,43,37,fixed,80,1,1,0,3.000000,4.000000
1007,centralized_dqn,80,1,19,0,0,2,3.862240,99.833300,0.482780,32,0.407261,50,0,0,0,0.407261,0.574418,0.167157,0.167157,0.407261,0.000000,43,0,1,0,32,31,17,99.833300,86.166700,63.166700,0.452670,0.204326,0.366519,0.041020,0.031801,0.041039,0.041039,80,43,37,fixed,80,1,1,0,3.000000,4.000000
1007,centralized_dqn,80,1,20,0,0,3,0.000000,99.833300,1.001670,32,0.407261,50,0,2,1,0.407261,0.574418,0.167157,0.167157,0.407261,0.000000,43,0,1,1,32,31,17,99.833300,86.166700,63.166700,1.001670,1.160541,1.583113,0.041020,0.038879,0.043451,0.043451,80,43,37,fixed,80,1,1,0,3.000000,4.000000
1007,centralized_dqn,80,1,21,0,0,1,3.506236,99.833300,1.168745,32,0.407261,50,0,2,1,0.407261,0.574418,0.167157,0.167157,0.407261,0.000000,43,0,1,1,32,31,17,99.833300,86.166700,63.166700,1.168732,1.010069,1.103028,0.041020,0.038139,0.042325,0.042325,80,43,37,fixed,80,1,1,0,3.000000,4.000000
1007,centralized_dqn,80,1,22,0,0,4,0.000000,99.833300,0.400668,32,0.407261,50,0,1,1,0.407261,0.574418,0.167157,0.167157,0.407261,0.000000,43,0,1,0,32,31,17,99.833300,86.166700,63.166700,0.400668,0.464216,0.633245,0.041020,0.039390,0.044852,0.044852,80,43,37,fixed,80,1,1,0,3.000000,4.000000
1007,centralized_dqn,80,1,23,2,2,2,3.104860,63.166700,0.388108,17,0.407261,50,0,0,1,0.407261,0.574418,0.167157,0.167157,0.407261,0.000000,43,0,1,0,32,31,17,99.833300,86.166700,63.166700,0.440670,0.204326,0.388069,0.039917,0.031054,0.041020,0.039917,80,43,37,fixed,80,1,1,0,3.000000,4.000000
1007,centralized_dqn,80,1,24,1,1,2,1.687443,86.166700,0.210930,31,0.407261,50,0,2,1,0.407261,0.574418,0.167157,0.167157,0.407261,0.000000,43,0,1,0,32,31,17,99.833300,86.166700,63.166700,0.440670,0.210916,0.366519,0.049496,0.041020,0.049853,0.049853,80,43,37,fixed,80,1,1,0,3.000000,4.000000
1007,centralized_dqn,80,1,25,0,0,2,0.362784,99.833300,0.045348,32,0.407261,50,1,0,0,0.407261,0.574418,0.167157,0.167157,0.407261,0.000000,43,0,1,0,32,31,17,99.833300,86.166700,63.166700,0.480009,0.204326,0.366519,0.041020,0.031507,0.040733,0.040733,80,43,37,fixed,80,1,1,0,3.000000,4.000000
1007,centralized_dqn,80,1,26,1,1,4,0.000000,86.166700,0.464216,31,0.407261,50,0,0,1,0.407261,0.574418,0.167157,0.167157,0.407261,0.000000,43,0,1,0,32,31,17,99.833300,86.166700,63.166700,0.400668,0.464216,0.633245,0.042662,0.041020,0.046522,0.046522,80,43,37,fixed,80,1,1,0,3.000000,4.000000
1007,centralized_dqn,80,1,27,1,1,2,1.687467,86.166700,0.210933,31,0.407261,50,0,1,0,0.407261,0.574418,0.167157,0.167157,0.407261,0.000000,43,0,1,0,32,31,17,99.833300,86.166700,63.166700,0.440670,0.210916,0.366519,0.049496,0.041020,0.049853,0.049853,80,43,37,fixed,80,1,1,0,3.000000,4.000000
1007,centralized_dqn,80,1,28,0,0,2,3.760544,99.833300,0.470068,32,0.407261,50,0,0,0,0.407261,0.574418,0.167157,0.167157,0.407261,0.000000,43,0,1,0,32,31,17,99.833300,86.166700,63.166700,0.453464,0.204326,0.366519,0.041020,0.031792,0.041029,0.041029,80,43,37,fixed,80,1,1,0,3.000000,4.000000
